"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Title","SibSpGroups","ParchGroups","FamSize","FamSizeGroups","ticketnumber","ticket_id","TicketGroups","fare_outlier","FareGroups","Miss_Cabin","Deck","DeckGroups","Miss_Age","MiceAge","AgeGroups","Child","Mother","singleFemale"
24,1,1,"male",28,0,0,"113788",35.5,"A6","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",4,"Known","A","A","age_known",28,"Adult","Adult","Not Mother",0
25,0,3,"female",8,3,1,"349909",21.075,"Missing","S","Miss","3+","1-3",5,"5","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",8,"Child","Child","Not Mother",0
26,1,3,"female",38,1,5,"347077",31.3875,"Missing","S","Mrs","1&2","4+",7,"1&7","Number","Number","Medium","no",4,"Missing","M","Missing","age_known",38,"Adult","Adult","Mother",0
27,0,3,"male",NA,0,0,"2631",7.225,"Missing","C","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",40.5,"Adult","Adult","Not Mother",0
28,0,1,"male",19,3,2,"19950",263,"C23 C25 C27","S","Mr","3+","1-3",6,"6","Number","Number","Medium","yes",4,"Known","C","CF","age_known",19,"Adult","Adult","Not Mother",0
29,1,3,"female",NA,0,0,"330959",7.8792,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",17,"Child","Child","Not Mother",1
30,0,3,"male",NA,0,0,"349216",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",27,"Adult","Adult","Not Mother",0
31,0,1,"male",40,0,0,"PC 17601",27.7208,"Missing","C","Rare Title","0","0",1,"1&7","PC","Letter","High","no",3,"Missing","M","Missing","age_known",40,"Adult","Adult","Not Mother",0
32,1,1,"female",NA,1,0,"PC 17569",146.5208,"B78","C","Mrs","1&2","0",2,"2&3","PC","Letter","High","yes",4,"Known","B","BDE","age_missing",53,"Adult","Adult","Not Mother",0
33,1,3,"female",NA,0,0,"335677",7.75,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",26,"Adult","Adult","Not Mother",1
34,0,2,"male",66,0,0,"C.A. 24579",10.5,"Missing","S","Mr","0","0",1,"1&7","CA","Letter","Medium","no",2,"Missing","M","Missing","age_known",66,"Adult","Adult","Not Mother",0
35,0,1,"male",28,1,0,"PC 17604",82.1708,"Missing","C","Mr","1&2","0",2,"2&3","PC","Letter","High","yes",4,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",0
36,0,1,"male",42,1,0,"113789",52,"Missing","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",4,"Missing","M","Missing","age_known",42,"Adult","Adult","Not Mother",0
37,1,3,"male",NA,0,0,"2677",7.2292,"Missing","C","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",44,"Adult","Adult","Not Mother",0
38,0,3,"male",21,0,0,"A./5. 2152",8.05,"Missing","S","Mr","0","0",1,"1&7","A","Letter","Lowest","no",2,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
39,0,3,"female",18,2,0,"345764",18,"Missing","S","Miss","1&2","0",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",18,"Adult","Adult","Not Mother",0
40,1,3,"female",14,1,0,"2651",11.2417,"Missing","C","Miss","1&2","0",2,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",14,"Child","Child","Not Mother",0
41,0,3,"female",40,1,0,"7546",9.475,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",40,"Adult","Adult","Not Mother",0
42,0,2,"female",27,1,0,"11668",21,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",27,"Adult","Adult","Not Mother",0
43,0,3,"male",NA,0,0,"349253",7.8958,"Missing","C","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",22,"Adult","Adult","Not Mother",0
44,1,2,"female",3,1,2,"SC/Paris 2123",41.5792,"Missing","C","Miss","1&2","1-3",4,"4","SC","Letter","High","no",4,"Missing","M","Missing","age_known",3,"Child","Child","Not Mother",0
45,1,3,"female",19,0,0,"330958",7.8792,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",19,"Adult","Adult","Not Mother",1
46,0,3,"male",NA,0,0,"S.C./A.4. 23567",8.05,"Missing","S","Mr","0","0",1,"1&7","SC","Letter","High","no",2,"Missing","M","Missing","age_missing",19,"Adult","Adult","Not Mother",0
47,0,3,"male",NA,1,0,"370371",15.5,"Missing","Q","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",33,"Adult","Adult","Not Mother",0
48,1,3,"female",NA,0,0,"14311",7.75,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",27,"Adult","Adult","Not Mother",1
49,0,3,"male",NA,2,0,"2662",21.6792,"Missing","C","Mr","1&2","0",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",35,"Adult","Adult","Not Mother",0
50,0,3,"female",18,1,0,"349237",17.8,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",18,"Adult","Adult","Not Mother",0
51,0,3,"male",7,4,1,"3101295",39.6875,"Missing","S","Master","3+","1-3",6,"6","Number","Number","Medium","no",4,"Missing","M","Missing","age_known",7,"Child","Child","Not Mother",0
52,0,3,"male",21,0,0,"A/4. 39886",7.8,"Missing","S","Mr","0","0",1,"1&7","A","Letter","Lowest","no",1,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
53,1,1,"female",49,1,0,"PC 17572",76.7292,"D33","C","Mrs","1&2","0",2,"2&3","PC","Letter","High","yes",4,"Known","D","BDE","age_known",49,"Adult","Adult","Not Mother",0
54,1,2,"female",29,1,0,"2926",26,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",29,"Adult","Adult","Not Mother",0
55,0,1,"male",65,0,1,"113509",61.9792,"B30","C","Mr","0","1-3",2,"2&3","Number","Number","Medium","no",4,"Known","B","BDE","age_known",65,"Adult","Adult","Not Mother",0
56,1,1,"male",NA,0,0,"19947",35.5,"C52","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",4,"Known","C","CF","age_missing",35,"Adult","Adult","Not Mother",0
57,1,2,"female",21,0,0,"C.A. 31026",10.5,"Missing","S","Miss","0","0",1,"1&7","CA","Letter","Medium","no",2,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",1
58,0,3,"male",28.5,0,0,"2697",7.2292,"Missing","C","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",28.5,"Adult","Adult","Not Mother",0
59,1,2,"female",5,1,2,"C.A. 34651",27.75,"Missing","S","Miss","1&2","1-3",4,"4","CA","Letter","Medium","no",3,"Missing","M","Missing","age_known",5,"Child","Child","Not Mother",0
60,0,3,"male",11,5,2,"CA 2144",46.9,"Missing","S","Master","3+","1-3",8,"8","CA","Letter","Medium","no",4,"Missing","M","Missing","age_known",11,"Child","Child","Not Mother",0
61,0,3,"male",22,0,0,"2669",7.2292,"Missing","C","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",22,"Adult","Adult","Not Mother",0
62,1,1,"female",38,0,0,"113572",80,"B28","S","Miss","0","0",1,"1&7","Number","Number","Medium","yes",4,"Known","B","BDE","age_known",38,"Adult","Adult","Not Mother",1
63,0,1,"male",45,1,0,"36973",83.475,"C83","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","yes",4,"Known","C","CF","age_known",45,"Adult","Adult","Not Mother",0
64,0,3,"male",4,3,2,"347088",27.9,"Missing","S","Master","3+","1-3",6,"6","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",4,"Child","Child","Not Mother",0
65,0,1,"male",NA,0,0,"PC 17605",27.7208,"Missing","C","Mr","0","0",1,"1&7","PC","Letter","High","no",3,"Missing","M","Missing","age_missing",18,"Adult","Adult","Not Mother",0
66,1,3,"male",NA,1,1,"2661",15.2458,"Missing","C","Master","1&2","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",4,"Child","Child","Not Mother",0
67,1,2,"female",29,0,0,"C.A. 29395",10.5,"F33","S","Mrs","0","0",1,"1&7","CA","Letter","Medium","no",2,"Known","F","CF","age_known",29,"Adult","Adult","Not Mother",1
68,0,3,"male",19,0,0,"S.P. 3464",8.1583,"Missing","S","Mr","0","0",1,"1&7","SP","Letter","Lowest","no",2,"Missing","M","Missing","age_known",19,"Adult","Adult","Not Mother",0
69,1,3,"female",17,4,2,"3101281",7.925,"Missing","S","Miss","3+","1-3",7,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",17,"Child","Child","Not Mother",0
70,0,3,"male",26,2,0,"315151",8.6625,"Missing","S","Mr","1&2","0",3,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",26,"Adult","Adult","Not Mother",0
71,0,2,"male",32,0,0,"C.A. 33111",10.5,"Missing","S","Mr","0","0",1,"1&7","CA","Letter","Medium","no",2,"Missing","M","Missing","age_known",32,"Adult","Adult","Not Mother",0
72,0,3,"female",16,5,2,"CA 2144",46.9,"Missing","S","Miss","3+","1-3",8,"8","CA","Letter","Medium","no",4,"Missing","M","Missing","age_known",16,"Child","Child","Not Mother",0
73,0,2,"male",21,0,0,"S.O.C. 14879",73.5,"Missing","S","Mr","0","0",1,"1&7","SOC","Letter","Lowest","yes",4,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
74,0,3,"male",26,1,0,"2680",14.4542,"Missing","C","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",26,"Adult","Adult","Not Mother",0
75,1,3,"male",32,0,0,"1601",56.4958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",4,"Missing","M","Missing","age_known",32,"Adult","Adult","Not Mother",0
76,0,3,"male",25,0,0,"348123",7.65,"F G73","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Known","F","CF","age_known",25,"Adult","Adult","Not Mother",0
77,0,3,"male",NA,0,0,"349208",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",22,"Adult","Adult","Not Mother",0
78,0,3,"male",NA,0,0,"374746",8.05,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_missing",22,"Adult","Adult","Not Mother",0
79,1,2,"male",0.83,0,2,"248738",29,"Missing","S","Master","0","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",0.83,"Child","Child","Not Mother",0
80,1,3,"female",30,0,0,"364516",12.475,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",30,"Adult","Adult","Not Mother",1
81,0,3,"male",22,0,0,"345767",9,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",22,"Adult","Adult","Not Mother",0
82,1,3,"male",29,0,0,"345779",9.5,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",29,"Adult","Adult","Not Mother",0
83,1,3,"female",NA,0,0,"330932",7.7875,"Missing","Q","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",17,"Child","Child","Not Mother",1
84,0,1,"male",28,0,0,"113059",47.1,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",4,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",0
85,1,2,"female",17,0,0,"SO/C 14885",10.5,"Missing","S","Miss","0","0",1,"1&7","SO","Letter","Lowest","no",2,"Missing","M","Missing","age_known",17,"Child","Child","Not Mother",1
86,1,3,"female",33,3,0,"3101278",15.85,"Missing","S","Mrs","3+","0",4,"4","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",33,"Adult","Adult","Not Mother",0
87,0,3,"male",16,1,3,"W./C. 6608",34.375,"Missing","S","Mr","1&2","1-3",5,"5","W","Letter","Low","no",4,"Missing","M","Missing","age_known",16,"Child","Child","Not Mother",0
88,0,3,"male",NA,0,0,"SOTON/OQ 392086",8.05,"Missing","S","Mr","0","0",1,"1&7","SOTON","Letter","Lowest","no",2,"Missing","M","Missing","age_missing",27,"Adult","Adult","Not Mother",0
89,1,1,"female",23,3,2,"19950",263,"C23 C25 C27","S","Miss","3+","1-3",6,"6","Number","Number","Medium","yes",4,"Known","C","CF","age_known",23,"Adult","Adult","Not Mother",0
90,0,3,"male",24,0,0,"343275",8.05,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",24,"Adult","Adult","Not Mother",0
91,0,3,"male",29,0,0,"343276",8.05,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",29,"Adult","Adult","Not Mother",0
92,0,3,"male",20,0,0,"347466",7.8542,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",20,"Adult","Adult","Not Mother",0
93,0,1,"male",46,1,0,"W.E.P. 5734",61.175,"E31","S","Mr","1&2","0",2,"2&3","W","Letter","Low","no",4,"Known","E","BDE","age_known",46,"Adult","Adult","Not Mother",0
94,0,3,"male",26,1,2,"C.A. 2315",20.575,"Missing","S","Mr","1&2","1-3",4,"4","CA","Letter","Medium","no",3,"Missing","M","Missing","age_known",26,"Adult","Adult","Not Mother",0
95,0,3,"male",59,0,0,"364500",7.25,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",59,"Adult","Adult","Not Mother",0
96,0,3,"male",NA,0,0,"374910",8.05,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_missing",35,"Adult","Adult","Not Mother",0
97,0,1,"male",71,0,0,"PC 17754",34.6542,"A5","C","Mr","0","0",1,"1&7","PC","Letter","High","no",4,"Known","A","A","age_known",71,"Adult","Adult","Not Mother",0
98,1,1,"male",23,0,1,"PC 17759",63.3583,"D10 D12","C","Mr","0","1-3",2,"2&3","PC","Letter","High","no",4,"Known","D","BDE","age_known",23,"Adult","Adult","Not Mother",0
99,1,2,"female",34,0,1,"231919",23,"Missing","S","Mrs","0","1-3",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",34,"Adult","Adult","Mother",0
100,0,2,"male",34,1,0,"244367",26,"Missing","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",34,"Adult","Adult","Not Mother",0
101,0,3,"female",28,0,0,"349245",7.8958,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",1
102,0,3,"male",NA,0,0,"349215",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",22,"Adult","Adult","Not Mother",0
103,0,1,"male",21,0,1,"35281",77.2875,"D26","S","Mr","0","1-3",2,"2&3","Number","Number","Medium","yes",4,"Known","D","BDE","age_known",21,"Adult","Adult","Not Mother",0
104,0,3,"male",33,0,0,"7540",8.6542,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",33,"Adult","Adult","Not Mother",0
105,0,3,"male",37,2,0,"3101276",7.925,"Missing","S","Mr","1&2","0",3,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",37,"Adult","Adult","Not Mother",0
106,0,3,"male",28,0,0,"349207",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",28,"Adult","Adult","Not Mother",0
107,1,3,"female",21,0,0,"343120",7.65,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",1
108,1,3,"male",NA,0,0,"312991",7.775,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",27,"Adult","Adult","Not Mother",0
109,0,3,"male",38,0,0,"349249",7.8958,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",38,"Adult","Adult","Not Mother",0
110,1,3,"female",NA,1,0,"371110",24.15,"Missing","Q","Miss","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",19,"Adult","Adult","Not Mother",0
111,0,1,"male",47,0,0,"110465",52,"C110","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",4,"Known","C","CF","age_known",47,"Adult","Adult","Not Mother",0
112,0,3,"female",14.5,1,0,"2665",14.4542,"Missing","C","Miss","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",14.5,"Child","Child","Not Mother",0
113,0,3,"male",22,0,0,"324669",8.05,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",22,"Adult","Adult","Not Mother",0
114,0,3,"female",20,1,0,"4136",9.825,"Missing","S","Miss","1&2","0",2,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",20,"Adult","Adult","Not Mother",0
115,0,3,"female",17,0,0,"2627",14.4583,"Missing","C","Miss","0","0",1,"1&7","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",17,"Child","Child","Not Mother",1
116,0,3,"male",21,0,0,"STON/O 2. 3101294",7.925,"Missing","S","Mr","0","0",1,"1&7","STON","Letter","Medium","no",2,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
117,0,3,"male",70.5,0,0,"370369",7.75,"Missing","Q","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",70.5,"Adult","Adult","Not Mother",0
118,0,2,"male",29,1,0,"11668",21,"Missing","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",29,"Adult","Adult","Not Mother",0
119,0,1,"male",24,0,1,"PC 17558",247.5208,"B58 B60","C","Mr","0","1-3",2,"2&3","PC","Letter","High","yes",4,"Known","B","BDE","age_known",24,"Adult","Adult","Not Mother",0
120,0,3,"female",2,4,2,"347082",31.275,"Missing","S","Miss","3+","1-3",7,"1&7","Number","Number","Medium","no",4,"Missing","M","Missing","age_known",2,"Child","Child","Not Mother",0
121,0,2,"male",21,2,0,"S.O.C. 14879",73.5,"Missing","S","Mr","1&2","0",3,"2&3","SOC","Letter","Lowest","yes",4,"Missing","M","Missing","age_known",21,"Adult","Adult","Not Mother",0
122,0,3,"male",NA,0,0,"A4. 54510",8.05,"Missing","S","Mr","0","0",1,"1&7","A","Letter","Lowest","no",2,"Missing","M","Missing","age_missing",24,"Adult","Adult","Not Mother",0
123,0,2,"male",32.5,1,0,"237736",30.0708,"Missing","C","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",32.5,"Adult","Adult","Not Mother",0
124,1,2,"female",32.5,0,0,"27267",13,"E101","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",2,"Known","E","BDE","age_known",32.5,"Adult","Adult","Not Mother",1
125,0,1,"male",54,0,1,"35281",77.2875,"D26","S","Mr","0","1-3",2,"2&3","Number","Number","Medium","yes",4,"Known","D","BDE","age_known",54,"Adult","Adult","Not Mother",0
126,1,3,"male",12,1,0,"2651",11.2417,"Missing","C","Master","1&2","0",2,"2&3","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",12,"Child","Child","Not Mother",0
127,0,3,"male",NA,0,0,"370372",7.75,"Missing","Q","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_missing",30,"Adult","Adult","Not Mother",0
128,1,3,"male",24,0,0,"C 17369",7.1417,"Missing","S","Mr","0","0",1,"1&7","C","Letter","Medium","no",1,"Missing","M","Missing","age_known",24,"Adult","Adult","Not Mother",0
129,1,3,"female",NA,1,1,"2668",22.3583,"F E69","C","Miss","1&2","1-3",3,"2&3","Number","Number","Medium","no",3,"Known","F","CF","age_missing",1,"Child","Child","Not Mother",0
130,0,3,"male",45,0,0,"347061",6.975,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",45,"Adult","Adult","Not Mother",0
131,0,3,"male",33,0,0,"349241",7.8958,"Missing","C","Mr","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",33,"Adult","Adult","Not Mother",0
132,0,3,"male",20,0,0,"SOTON/O.Q. 3101307",7.05,"Missing","S","Mr","0","0",1,"1&7","SOTON","Letter","Lowest","no",1,"Missing","M","Missing","age_known",20,"Adult","Adult","Not Mother",0
133,0,3,"female",47,1,0,"A/5. 3337",14.5,"Missing","S","Mrs","1&2","0",2,"2&3","A","Letter","Lowest","no",3,"Missing","M","Missing","age_known",47,"Adult","Adult","Not Mother",0
134,1,2,"female",29,1,0,"228414",26,"Missing","S","Mrs","1&2","0",2,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_known",29,"Adult","Adult","Not Mother",0
135,0,2,"male",25,0,0,"C.A. 29178",13,"Missing","S","Mr","0","0",1,"1&7","CA","Letter","Medium","no",2,"Missing","M","Missing","age_known",25,"Adult","Adult","Not Mother",0
136,0,2,"male",23,0,0,"SC/PARIS 2133",15.0458,"Missing","C","Mr","0","0",1,"1&7","SC","Letter","High","no",3,"Missing","M","Missing","age_known",23,"Adult","Adult","Not Mother",0
137,1,1,"female",19,0,2,"11752",26.2833,"D47","S","Miss","0","1-3",3,"2&3","Number","Number","Medium","no",3,"Known","D","BDE","age_known",19,"Adult","Adult","Not Mother",0
138,0,1,"male",37,1,0,"113803",53.1,"C123","S","Mr","1&2","0",2,"2&3","Number","Number","Medium","no",4,"Known","C","CF","age_known",37,"Adult","Adult","Not Mother",0
139,0,3,"male",16,0,0,"7534",9.2167,"Missing","S","Mr","0","0",1,"1&7","Number","Number","Medium","no",2,"Missing","M","Missing","age_known",16,"Child","Child","Not Mother",0
140,0,1,"male",24,0,0,"PC 17593",79.2,"B86","C","Mr","0","0",1,"1&7","PC","Letter","High","yes",4,"Known","B","BDE","age_known",24,"Adult","Adult","Not Mother",0
141,0,3,"female",NA,0,2,"2678",15.2458,"Missing","C","Mrs","0","1-3",3,"2&3","Number","Number","Medium","no",3,"Missing","M","Missing","age_missing",25,"Adult","Adult","Mother",0
142,1,3,"female",22,0,0,"347081",7.75,"Missing","S","Miss","0","0",1,"1&7","Number","Number","Medium","no",1,"Missing","M","Missing","age_known",22,"Adult","Adult","Not Mother",1
